order_id,restaurant,cuisine,city,order_time,prep_time_min,delivery_time_min,delivery_distance_km,price,discount_percent,final_amount,rating,payment_method,is_first_order,delivery_partner_id
200000,HealthyBowl,Italian,Kolkata,4/1/2024 20:29,19,32,8.7,485,20,388,1,UPI,1,783
200001,PizzaBox,Biryani,Pune,1/25/2024 17:46,26,47,7.75,301,0,301,4,Wallet,0,870
200002,GrillMaster,North Indian,Delhi,2/18/2024 2:26,25,59,6.67,619,20,495.2,3,COD,0,787
200003,GrillMaster,Chinese,Bangalore,3/31/2024 21:27,18,48,11.24,580,10,522,2,Card,1,486
200004,Biryani Express,Healthy,Chennai,3/27/2024 3:10,16,53,1.43,266,5,252.7,4,COD,1,307
200005,SushiZone,Biryani,Delhi,1/20/2024 10:03,18,30,7,553,30,387.1,1,Card,0,793
200006,ChowTown,North Indian,Bangalore,1/11/2024 19:04,35,71,8.05,878,5,834.1,1,Card,1,757
200007,South Spice,Italian,Mumbai,3/11/2024 15:45,17,52,6,733,0,733,3,COD,1,183
200008,SushiZone,North Indian,Chennai,4/22/2024 7:52,45,74,14.33,679,0,679,4,COD,0,678
200009,ChowTown,Chinese,Pune,3/25/2024 8:57,29,57,5.54,780,5,741,1,COD,1,146
200010,WrapWorld,Italian,Hyderabad,2/22/2024 15:30,25,56,8.24,807,30,564.9,1,COD,0,621
200011,Biryani Express,Japanese,Chennai,2/14/2024 11:40,26,57,13.86,518,10,466.2,4,UPI,1,985
200012,GrillMaster,Italian,Chennai,4/23/2024 4:50,44,65,12.83,126,10,113.4,2,Wallet,0,210
200013,Urban Thali,Biryani,Kolkata,4/22/2024 22:21,24,61,2.85,442,5,419.9,3,COD,1,291
200014,The Wok House,Healthy,Chennai,4/12/2024 15:28,36,66,13.26,242,15,205.7,4,UPI,1,346
200015,SushiZone,Healthy,Delhi,2/11/2024 3:28,20,60,4.72,698,10,628.2,2,Wallet,0,261
200016,PizzaBox,South Indian,Kolkata,2/5/2024 15:43,26,61,9.82,506,5,480.7,5,UPI,1,185
200017,GrillMaster,North Indian,Chennai,3/7/2024 19:39,29,47,9.8,442,15,375.7,2,Card,0,111
200018,SpiceHub,North Indian,Bangalore,4/20/2024 2:58,23,60,14.38,690,20,552,4,UPI,1,345
200019,SpiceHub,South Indian,Pune,4/16/2024 22:35,22,35,6.59,636,20,508.8,5,Card,1,359
